company_name,company_industry
Loblaw,Retail Groceries
University of Texas at Austin,Education
McGill University,Higher Education
Montage International,Hospitality
PNC Financial Services Group,Banking
Maxi,Retail Groceries
Levi Strauss,Retail Apparel and Fashion
Nordstrom,Retail Groceries
Walmart,Retail
JLL,Higher Education
Levi Strauss & Co.,Retail
Salesforce,Aviation and Aerospace Component Manufacturing
Smithfield Foods,Food and Beverage Manufacturing
Signet Jewelers,Retail
Extra Space Storage,Real Estate
Deloitte,Business Consulting and Services
Nordstrom Inc,Retail Apparel and Fashion
University of Virginia,Higher Education
Carvana,"Technology, Information and Internet"
VCA Animal Hospitals,Retail
Parsons,Defense and Space Manufacturing
"Sensata Technologies, Inc.",Business Consulting and Services
Galileo Global Education,Higher Education
Pfizer,Pharmaceutical Manufacturing
Children's Healthcare of Atlanta,Hospitals and Health Care
VCU Health System,Hospitals and Health Care
Oregon Health Authority,Government Administration
Maricopa County,Government Administration
State Street,Hospitality
General Motors,Higher Education
Cornell University,Higher Education
Bronson Healthcare,Higher Education
Jabil,"Appliances, Electrical, and Electronics Manufacturing"
The University of Texas at Austin,Hospitals and Health Care
LSEG (London Stock Exchange Group),Financial Services
CrowdStrike,Computer and Network Security
Diageo,Beverage Manufacturing
Florida Atlantic University,Higher Education
Arkansas Children's,Hospitals and Health Care
The Rector & Visitors of the University of Virginia,Banking
Penn State University,Financial Services
Healogics,Transportation Equipment Manufacturing
Antech Diagnostics,Beverage Manufacturing
Flex,Accounting
Guardian Life,Financial Services
Target,Retail
Sun Life,Financial Services
RELX Group,IT Services and IT Consulting
Air Products,Chemical Manufacturing
WVU Medicine,Hospitals and Health Care
FirstRand,Financial Services
Motorola Solutions,Telecommunications
"Hy-Vee, Inc.",Retail
Cencora,Financial Services
Skechers,Financial Services
Claire's,Retail
Kyndryl,IT Services and IT Consulting
Admiral Beverage Corporation,Transportation Equipment Manufacturing
The Ohio State University,Financial Services
OTIS,Manufacturing
Vanderbilt University Medical Center,Hospitals and Health Care
Haleon,Consumer Services
NASDAQ,Financial Services
NVIDIA,Computer Hardware Manufacturing
Blue Origin,Architecture and Planning
Autodesk,Manufacturing
NAPA Auto Parts,Computers and Electronics Manufacturing
Madison Area Technical College,Consumer Services
Dominion,Construction
GameStop,Hospitals and Health Care
KONE,Industrial Machinery Manufacturing
Blue Cross and Blue Shield of Louisiana,Insurance
University Of Washington,Higher Education
"Ryder System, Inc.","Transportation, Logistics, Supply Chain and Storage"
WP Engine,IT Services and IT Consulting
Johnson Controls,Industrial Machinery Manufacturing
Travelers,Insurance
YAI - Seeing Beyond Disability,Non-profit Organizations
Red Hat,Industrial Machinery Manufacturing
"University of Nevada, Las Vegas",Medical Equipment Manufacturing
Wake Forest University,Higher Education
Commonwealth of Virginia,Retail
Unisys,Machinery Manufacturing
Global Payments,Industrial Machinery Manufacturing
Southern Illinois Healthcare,Hospitals and Health Care
Langara College,Higher Education
Fortinos,Retail Motor Vehicles
College of Southern Nevada,Higher Education
TD,Banking
Swarovski,Retail
Valmet,Machinery Manufacturing
Washington University in St. Louis,Financial Services
ICF,Business Consulting and Services
Citi,Higher Education
The Ohio State University Wexner Medical Center,Retail Motor Vehicles
TransUnion,Biotechnology Research
Avantor,Banking
Regis University,Retail
GEICO,Insurance
Whole Foods Market,Retail
ABSA BANK LIMITED,Banking
QBE,Insurance
Lithia & Driveway,Retail Motor Vehicles
DaVita,Hospitals and Health Care
Michael Kors,Chemical Manufacturing
Five Below,Medical Equipment Manufacturing
Xylem,Professional Services
Fox Corporation,Banking
Regal Rexnord Corporation,Insurance
University of Arkansas,Manufacturing
Intermountain Health,Retail Groceries
Shoppers Drug Mart,Retail
Mastercard,IT Services and IT Consulting
BMO Financial Group,Financial Services
Okta,Software Development
Kimberly-Clark,Manufacturing
DOW,Chemical Manufacturing
7-Eleven,Machinery Manufacturing
Four Seasons,Hospitality
General Dynamics Information Technology,Retail Apparel and Fashion
Commonwealth Bank of Australia,Banking
Northern Trust Corp.,Financial Services
Genpact,Business Consulting and Services
